origin_airport;destination_airport;image_url;image_tag;description;url;origin_city;destination_city;price_oneway;price_round;applink;route;priority;origin_country_2lc;destination_country_2lc;origin_location_id;origin_slug;destination_location_id;destination_slug;origin_city_en;destination_city_en;origin_country;origin_country_en;destination_country;destination_country_en;cheap_landing_page_url;search_results_url_oneway;search_results_url_return;currency;language
PRG;RTB;https://images.kiwi.com/photos/1280x720/coxen-hole_hn.jpg;Coxen Hole, travel destination, city;Praha - Coxen Hole;https://kiwi.com/cz/hledej/results/praha-cesko/coxen-hole-honduras;Praha;Coxen Hole;13178 CZK;18738 CZK;;PRG-RTB;;CZ;HN;prague_cz;praha-cesko;coxen-hole_hn;coxen-hole-honduras;Prague;Coxen Hole;Česko;Czechia;Honduras;Honduras;https://www.kiwi.com/cz/cheap-flights/praha-cesko/coxen-hole-honduras/;https://www.kiwi.com/cz/hledej/results/praha-cesko/coxen-hole-honduras/anytime/no-return;https://www.kiwi.com/cz/hledej/results/praha-cesko/coxen-hole-honduras/anytime;CZK;cz
PRG;CWL;https://images.kiwi.com/photos/1280x720/cardiff_gb.jpg;Cardiff, travel destination, city;Praha - Cardiff;https://kiwi.com/cz/hledej/results/praha-cesko/cardiff-spojene-kralovstvi;Praha;Cardiff;1004 CZK;1984 CZK;;PRG-CWL;;CZ;GB;prague_cz;praha-cesko;cardiff_gb;cardiff-spojene-kralovstvi;Prague;Cardiff;Česko;Czechia;Spojené království;United Kingdom;https://www.kiwi.com/cz/cheap-flights/praha-cesko/cardiff-spojene-kralovstvi/;https://www.kiwi.com/cz/hledej/results/praha-cesko/cardiff-spojene-kralovstvi/anytime/no-return;https://www.kiwi.com/cz/hledej/results/praha-cesko/cardiff-spojene-kralovstvi/anytime;CZK;cz
PRG;ELP;https://images.kiwi.com/photos/1280x720/el-paso_tx_us.jpg;El Paso, travel destination, city;Praha - El Paso;https://kiwi.com/cz/hledej/results/praha-cesko/el-paso-texas-spojene-staty;Praha;El Paso; CZK;21163 CZK;;PRG-ELP;;CZ;US;prague_cz;praha-cesko;el-paso_tx_us;el-paso-texas-spojene-staty;Prague;El Paso;Česko;Czechia;Spojené státy;United States;https://www.kiwi.com/cz/cheap-flights/praha-cesko/el-paso-texas-spojene-staty/;https://www.kiwi.com/cz/hledej/results/praha-cesko/el-paso-texas-spojene-staty/anytime/no-return;https://www.kiwi.com/cz/hledej/results/praha-cesko/el-paso-texas-spojene-staty/anytime;CZK;cz
OSR;ALC;https://images.kiwi.com/photos/1280x720/alicante_es.jpg;Alicante, travel destination, city;Ostrava - Alicante;https://kiwi.com/cz/hledej/results/ostrava-cesko/alicante-spanelsko;Ostrava;Alicante;2351 CZK;3331 CZK;;OSR-ALC;;CZ;ES;ostrava_cz;ostrava-cesko;alicante_es;alicante-spanelsko;Ostrava;Alicante;Česko;Czechia;Španělsko;Spain;https://www.kiwi.com/cz/cheap-flights/ostrava-cesko/alicante-spanelsko/;https://www.kiwi.com/cz/hledej/results/ostrava-cesko/alicante-spanelsko/anytime/no-return;https://www.kiwi.com/cz/hledej/results/ostrava-cesko/alicante-spanelsko/anytime;CZK;cz
PRG;NBO;https://images.kiwi.com/photos/1280x720/nairobi_ke.jpg;Nairobi, travel destination, city;Praha - Nairobi;https://kiwi.com/cz/hledej/results/praha-cesko/nairobi-kena;Praha;Nairobi;7838 CZK;13692 CZK;;PRG-NBO;;CZ;KE;prague_cz;praha-cesko;nairobi_ke;nairobi-kena;Prague;Nairobi;Česko;Czechia;Keňa;Kenya;https://www.kiwi.com/cz/cheap-flights/praha-cesko/nairobi-kena/;https://www.kiwi.com/cz/hledej/results/praha-cesko/nairobi-kena/anytime/no-return;https://www.kiwi.com/cz/hledej/results/praha-cesko/nairobi-kena/anytime;CZK;cz
OSR;MAN;https://images.kiwi.com/photos/1280x720/manchester_gb.jpg;Manchester, travel destination, city;Ostrava - Manchester;https://kiwi.com/cz/hledej/results/ostrava-cesko/manchester-spojene-kralovstvi;Ostrava;Manchester;2180 CZK;4507 CZK;;OSR-MAN;;CZ;GB;ostrava_cz;ostrava-cesko;manchester_gb;manchester-spojene-kralovstvi;Ostrava;Manchester;Česko;Czechia;Spojené království;United Kingdom;https://www.kiwi.com/cz/cheap-flights/ostrava-cesko/manchester-spojene-kralovstvi/;https://www.kiwi.com/cz/hledej/results/ostrava-cesko/manchester-spojene-kralovstvi/anytime/no-return;https://www.kiwi.com/cz/hledej/results/ostrava-cesko/manchester-spojene-kralovstvi/anytime;CZK;cz
PRG;LAD;https://images.kiwi.com/photos/1280x720/luanda_ao.jpg;Luanda, travel destination, city;Praha - Luanda;https://kiwi.com/cz/hledej/results/praha-cesko/luanda-angola;Praha;Luanda;6858 CZK;15872 CZK;;PRG-LAD;;CZ;AO;prague_cz;praha-cesko;luanda_ao;luanda-angola;Prague;Luanda;Česko;Czechia;Angola;Angola;https://www.kiwi.com/cz/cheap-flights/praha-cesko/luanda-angola/;https://www.kiwi.com/cz/hledej/results/praha-cesko/luanda-angola/anytime/no-return;https://www.kiwi.com/cz/hledej/results/praha-cesko/luanda-angola/anytime;CZK;cz
PRG;SAL;https://images.kiwi.com/photos/1280x720/san-salvador_sv.jpg;San, travel destination, city;Praha - San;https://kiwi.com/cz/hledej/results/praha-cesko/san-salvador;Praha;San; CZK;17660 CZK;;PRG-SAL;;CZ;SV;prague_cz;praha-cesko;san-salvador_sv;san-salvador;Prague;San Salvador;Česko;Czechia;Salvador;El Salvador;https://www.kiwi.com/cz/cheap-flights/praha-cesko/san-salvador/;https://www.kiwi.com/cz/hledej/results/praha-cesko/san-salvador/anytime/no-return;https://www.kiwi.com/cz/hledej/results/praha-cesko/san-salvador/anytime;CZK;cz
BRQ;BUD;https://images.kiwi.com/photos/1280x720/budapest_hu.jpg;Budapešť, travel destination, city;Brno - Budapešť;https://kiwi.com/cz/hledej/results/brno-cesko/budapest-madarsko;Brno;Budapešť;1813 CZK;3552 CZK;;BRQ-BUD;;CZ;HU;brno_cz;brno-cesko;budapest_hu;budapest-madarsko;Brno;Budapest;Česko;Czechia;Maďarsko;Hungary;https://www.kiwi.com/cz/cheap-flights/brno-cesko/budapest-madarsko/;https://www.kiwi.com/cz/hledej/results/brno-cesko/budapest-madarsko/anytime/no-return;https://www.kiwi.com/cz/hledej/results/brno-cesko/budapest-madarsko/anytime;CZK;cz
PRG;DAR;https://images.kiwi.com/photos/1280x720/dar-es-salaam_tz.jpg;Dar es Salaam, travel destination, city;Praha - Dar es Salaam;https://kiwi.com/cz/hledej/results/praha-cesko/dar-es-salaam-tanzanie;Praha;Dar es Salaam;6981 CZK;17023 CZK;;PRG-DAR;;CZ;TZ;prague_cz;praha-cesko;dar-es-salaam_tz;dar-es-salaam-tanzanie;Prague;Dar es Salaam;Česko;Czechia;Tanzanie;Tanzania;https://www.kiwi.com/cz/cheap-flights/praha-cesko/dar-es-salaam-tanzanie/;https://www.kiwi.com/cz/hledej/results/praha-cesko/dar-es-salaam-tanzanie/anytime/no-return;https://www.kiwi.com/cz/hledej/results/praha-cesko/dar-es-salaam-tanzanie/anytime;CZK;cz
