games__id,games__name,games__url,games__thumbnailUrl
book_of_dragons.triplepg,ブック・オブ・ドラゴンズ,https://www.mystino.com/ja/game/book_of_dragons.triplepg/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/7xBj9z2Y4qTunFzo0ZLhYS/398a84447dcd0741b9260780b5517285/book_of_dragons.jpg"
kitty_twins.gameart,キティー・ツインズ,https://www.mystino.com/ja/game/kitty_twins.gameart/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/4aubfJLeicmNbo3p3VwtxY/e345055b5e59f75f66d588db324b7307/kittytwins.png"
corrida_romance_deluxe.wazdan,コッリーダ・ロマンス・デラックス,https://www.mystino.com/ja/game/corrida_romance_deluxe.wazdan/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/4WyHAU0KIJLqgtYNcKeXUw/bfc51900f29e2a6afb3cf91a9474d39a/CorridaRomance.png"
mystery_spin_deluxe_megaways.blueprint,ミステリー・スピン・デラックス・メガウェイズ,https://www.mystino.com/ja/game/mystery_spin_deluxe_megaways.blueprint/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/qu1sErIbznnfdA0C2BOl0/6dce9b891a9d8995b3a4978a5bf29813/mystery_spin_deluxe_megaways.blueprint.png"
tigers_gold.booongo,タイガーズ・ゴールド,https://www.mystino.com/ja/game/tigers_gold.booongo/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/d69QYhtrXquaUfxJUnj3f/03d5d841b96b741c8ba658ef55e31511/tigersgold.jpg"
marching_legions.relax,マーチング・レギオンズ,https://www.mystino.com/ja/game/marching_legions.relax/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/6auD967jlEImgJXTgsg2se/46925575a9ad887473eae62f9ff51d53/MarchingLegions.jpg"
dark_king_forbidden_riches.netent,ダーク・キング：フォービデン・リッチーズ,https://www.mystino.com/ja/game/dark_king_forbidden_riches.netent/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/3iOEqHmEOefUTXi6Mgv3Pz/990885b4c4dd369414aa8b60da0c7725/dark_king_forbidden_riches.netent.jpeg"
journey_to_the_west.evoplay,ジャーニー・トゥー・ザ・ウェスト,https://www.mystino.com/ja/game/journey_to_the_west.evoplay/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/4rbTJEFXQe4uwJcbCJBX9b/33b94d5ab18a7a48da4decedccbdb722/Journey_to_the_West.png"
ne_zha.gamatron,ネ・ザ,https://www.mystino.com/ja/game/ne_zha.gamatron/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/5Mi81Aqsp0spWmCbmabec0/aefad9ccc6e00a3b3bec7f7adb99d68e/ne_zha.gamatron.png"
dawn_of_olympus.gameart,ダウン・オブ・オリンポス,https://www.mystino.com/ja/game/dawn_of_olympus.gameart/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/1ybyrDr9LVVmMfvJWbBJEl/ef46f22c22859e057e665d8120deb402/Dawn_of_Olympus.jpg"
run_chase.spinomenal,ラン・チェイス,https://www.mystino.com/ja/game/run_chase.spinomenal/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/4U4W4Q6PDxVMDlhUQHgQTz/cb9f5be946a12ec8c522bc4d298e93ba/run_chase.spinomenal.thumbnail.jpeg"
juicy_7.onetouch,ジューシー 7,https://www.mystino.com/ja/game/juicy_7.onetouch/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/5vZ15xOfQMWJ4cKFf1huFo/ba4361a2f18b0034bd1c6f2a9eddf3fb/Juicy7.jpg"
booming_bars.booming,ブーミング・バーズ,https://www.mystino.com/ja/game/booming_bars.booming/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/4AQYY32X2WGUdNuCrzoKHL/5e1443aec1fdd1e534f2c69e3748e46d/booming_bars.booming.thumbnail.png"
fiery_kirin.2by2,ファイリー・キリン,https://www.mystino.com/ja/game/fiery_kirin.2by2/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/3nNHNGRb3zx5yGrH31rSD1/b875b5b4267f8cac760eca28e8874595/fiery_kirin.2by2.thumbnail.png"
king_of_wealth.gameart,キング・オブ・ウェルス,https://www.mystino.com/ja/game/king_of_wealth.gameart/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/5qm1PUXTp6Rnd2CZrJpgPH/77902414f7c276a1baeecbc1620d9140/kingofwealth.png"
queen_of_ice.spinomenal,クイーン・オブ・アイス,https://www.mystino.com/ja/game/queen_of_ice.spinomenal/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/37n5HDUY9mq9Er4i7VcFML/48d2698e765a859ebc0c92be8dc7a426/queen_of_ice.spinomenal.thumbnail.jpeg"
viva_fruit_vegas.skywind,ビバ・フルーツ・ベガス,https://www.mystino.com/ja/game/viva_fruit_vegas.skywind/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/6FkxOZbBu9ng0KFXA6ZHMp/bdfa8e36a4ff8c0e33b6e070a760ef38/image6.jpeg"
